"","lat","lon","elevation","time","t","delta.lat","delta.lon"
"72",39.189017,-96.578951,319.824531828985,2024-02-06 12:29:03,71,-0.000568999999998709,0.000630000000001019
"73",39.189006,-96.57895,319.781383061782,2024-02-06 12:29:04,72,-0.000579999999999359,0.000630999999998494
"74",39.188996,-96.578949,319.736611278728,2024-02-06 12:29:05,73,-0.000589999999995428,0.00063200000001018
"75",39.188987,-96.578947,319.689357033931,2024-02-06 12:29:06,74,-0.000599000000001126,0.00063400000000513
"76",39.188979,-96.578946,319.644483515993,2024-02-06 12:29:07,75,-0.000606999999995139,0.000635000000002606
"77",39.18897,-96.578944,319.60736724548,2024-02-06 12:29:08,76,-0.000616000000000838,0.000636999999997556
"78",39.188958,-96.578941,319.575525325723,2024-02-06 12:29:09,77,-0.000627999999998963,0.000640000000004193
"79",39.188946,-96.578937,319.545915532857,2024-02-06 12:29:10,78,-0.000639999999997087,0.000644000000008305
"80",39.188935,-96.578932,319.516326671466,2024-02-06 12:29:11,79,-0.000650999999997737,0.000649000000009892
"81",39.188923,-96.578927,319.492240903899,2024-02-06 12:29:12,80,-0.000662999999995861,0.000654000000011479
"82",39.188911,-96.578921,319.472072506323,2024-02-06 12:29:13,81,-0.000675000000001091,0.000660000000010541
"83",39.1889,-96.578915,319.447067635134,2024-02-06 12:29:14,82,-0.000686000000001741,0.000666000000009603
"84",39.188888,-96.578908,319.40759875346,2024-02-06 12:29:15,83,-0.000697999999999865,0.000673000000006141
"85",39.188877,-96.578902,319.367591187358,2024-02-06 12:29:16,84,-0.000709000000000515,0.000679000000005203
"86",39.188866,-96.578895,319.31071678549,2024-02-06 12:29:17,85,-0.000720000000001164,0.000686000000001741
"87",39.188854,-96.578887,319.249156347476,2024-02-06 12:29:18,86,-0.000731999999999289,0.000694000000009964
"88",39.188843,-96.57888,319.186141277663,2024-02-06 12:29:19,87,-0.000742999999999938,0.000701000000006502
"89",39.188831,-96.578873,319.113405934535,2024-02-06 12:29:20,88,-0.000754999999998063,0.00070800000000304
"90",39.18882,-96.578867,319.030557566322,2024-02-06 12:29:21,89,-0.000765999999998712,0.000714000000002102
"91",39.188808,-96.578861,318.949958075769,2024-02-06 12:29:22,90,-0.000777999999996837,0.000720000000001164
"92",39.188797,-96.578856,318.869905321859,2024-02-06 12:29:23,91,-0.000788999999997486,0.000725000000002751
"93",39.188787,-96.578851,318.791233321652,2024-02-06 12:29:24,92,-0.00079900000000066,0.000730000000004338
"94",39.188776,-96.578846,318.717705255374,2024-02-06 12:29:25,93,-0.00081000000000131,0.000735000000005925
"95",39.188764,-96.578841,318.649577883072,2024-02-06 12:29:26,94,-0.000821999999999434,0.000740000000007512
"96",39.188753,-96.578836,318.576933342032,2024-02-06 12:29:27,95,-0.000833000000000084,0.0007450000000091
"97",39.188741,-96.578832,318.507326636463,2024-02-06 12:29:28,96,-0.000844999999998208,0.000748999999999
"98",39.188729,-96.578828,318.455388315022,2024-02-06 12:29:29,97,-0.000856999999996333,0.000753000000003112
"99",39.188716,-96.578825,318.393629960716,2024-02-06 12:29:30,98,-0.000869999999999038,0.000756000000009749
"100",39.188703,-96.578824,318.333289146423,2024-02-06 12:29:31,99,-0.000883000000001744,0.000757000000007224
"101",39.188691,-96.578823,318.278479661793,2024-02-06 12:29:32,100,-0.000894999999999868,0.000758000000004699
"102",39.188678,-96.578825,318.221213135868,2024-02-06 12:29:33,101,-0.000907999999995468,0.000756000000009749
"103",39.188666,-96.578826,318.159663983621,2024-02-06 12:29:34,102,-0.000920000000000698,0.000754999999998063
"104",39.188655,-96.578829,318.093801768497,2024-02-06 12:29:35,103,-0.000931000000001347,0.000752000000005637
"105",39.188643,-96.578831,318.016041121446,2024-02-06 12:29:36,104,-0.000942999999999472,0.000750000000010687
